read-only measurement probe tpoPOC: the price bin holding the most time in the current UTC session, over 5-bps bins — a point-in-time read at its own fold, absent for the session's first 60 minutes. tpoPOC_pTpoPOC_spread: % gap tpoPOC vs pTpoPOC. tpoVAL: the lower edge of the 70% value area around the current session's point of control — a point-in-time read at its own fold, absent for the session's first 60 minutes. tpoVAL_pTpoVAL_spread: % gap tpoVAL vs pTpoVAL. tpoVAH: the upper edge of the 70% value area around the current session's point of control — a point-in-time read at its own fold, absent for the session's first 60 minutes. tpoVAH_pTpoVAH_spread: % gap tpoVAH vs pTpoVAH. tpoPOC_pTpoVAH_spread: % gap tpoPOC vs pTpoVAH. tpoPOC_pTpoVAL_spread: % gap tpoPOC vs pTpoVAL. pTpoVAH: the upper edge of the previous completed UTC session's 70% value area. pTpoVAH_pTpoVAL_spread: % gap pTpoVAH vs pTpoVAL. tpoVAH_tpoVAL_spread: % gap tpoVAH vs tpoVAL. tpoIBH: the highest price of the current session's first 60 minutes — a point-in-time read at its own fold, absent until that opening range closes. tpoIBH_tpoIBL_spread: % gap tpoIBH vs tpoIBL. close: the bar's close price. close_tpoPOC_spread: % gap close vs tpoPOC. tpoShape: where the point of control sits inside the current session's value area, p-shape at or above 0.67 of its span and b-shape at or below the mirror — a point-in-time read at its own fold (p-shape / b-shape / balanced).

| coin | tpoPOC_pTpoPOC_spread | tpoVAL_pTpoVAL_spread | tpoVAH_pTpoVAH_spread | tpoPOC_pTpoVAH_spread | tpoPOC_pTpoVAL_spread | pTpoVAH_pTpoVAL_spread | tpoVAH_tpoVAL_spread | tpoIBH_tpoIBL_spread | close_tpoPOC_spread | tpoShape |
|---|---|---|---|---|---|---|---|---|---|---|
| AAVE | -0.99% | +0.31% | -1.75% | -2.09% | +0.66% | +2.81% | +0.70% | +1.20% | -0.34% | balanced |
| AIXBT | -5.40% | -1.72% | -5.13% | -5.97% | -1.62% | +4.63% | +1.00% | +1.37% | +0.26% | b-shape |
| APT | +5.40% | +5.27% | +3.87% | +3.36% | +6.10% | +2.65% | +1.28% | +2.20% | -1.22% | balanced |
| AVAX | -1.87% | -1.00% | -3.90% | -4.04% | -0.81% | +3.37% | +0.35% | +0.99% | -0.37% | balanced |
| BNB | -0.87% | +0.65% | -0.82% | -0.97% | +0.80% | +1.79% | +0.30% | +0.68% | -0.28% | balanced |
| BTC | -0.48% | +0.33% | -1.48% | -1.63% | +0.38% | +2.05% | +0.20% | +0.51% | -0.12% | b-shape |
| CAKE | +0.27% | +1.96% | -2.36% | -3.27% | +2.12% | +5.57% | +1.10% | +0.98% | +0.42% | b-shape |
| CRV | +1.05% | +0.96% | -1.47% | -1.71% | +1.26% | +3.02% | +0.55% | +1.60% | +0.39% | balanced |
| DOGE | -2.17% | -0.66% | -3.10% | -3.20% | -0.41% | +2.88% | +0.35% | +0.85% | -0.18% | p-shape |
| ENA | -3.34% | -1.88% | -4.22% | -4.55% | -1.54% | +3.16% | +0.69% | +1.32% | +0.11% | balanced |
| ETH | -0.67% | +0.08% | -1.12% | -1.27% | +0.23% | +1.51% | +0.30% | +0.87% | -0.35% | balanced |
| FARTCOIN | +1.61% | +1.18% | -1.40% | -1.74% | +1.88% | +3.68% | +1.04% | +1.96% | -0.77% | p-shape |
| GRAM | -1.75% | +0.05% | -1.46% | -1.90% | +0.45% | +2.39% | +0.85% | +1.39% | -0.37% | balanced |
| HYPE | -1.72% | -0.03% | -4.70% | -4.93% | +0.42% | +5.63% | +0.70% | +0.99% | -0.82% | balanced |
| JUP | +0.13% | +1.14% | -0.70% | -1.38% | +1.70% | +3.12% | +1.24% | +1.87% | -0.11% | balanced |
